bench,onnx,vnnlib,result
cgan_2023,onnx/cGAN_imgSz32_nCh_1.onnx,vnnlib/cGAN_imgSz32_nCh_1_prop_0_input_eps_0.010_output_eps_0.015.vnnlib,sat
cgan_2023,onnx/cGAN_imgSz32_nCh_1.onnx,vnnlib/cGAN_imgSz32_nCh_1_prop_1_input_eps_0.020_output_eps_0.025.vnnlib,sat
cgan_2023,onnx/cGAN_imgSz32_nCh_1.onnx,vnnlib/cGAN_imgSz32_nCh_1_prop_2_input_eps_0.020_output_eps_0.025.vnnlib,sat
cgan_2023,onnx/cGAN_imgSz32_nCh_1.onnx,vnnlib/cGAN_imgSz32_nCh_1_prop_3_input_eps_0.020_output_eps_0.025.vnnlib,unsat
cgan_2023,onnx/cGAN_imgSz32_nCh_1_transposedConvPadding_1.onnx,vnnlib/cGAN_imgSz32_nCh_1_transposedConvPadding_1_prop_0_input_eps_0.010_output_eps_0.015.vnnlib,sat
cgan_2023,onnx/cGAN_imgSz32_nCh_3.onnx,vnnlib/cGAN_imgSz32_nCh_3_prop_0_input_eps_0.015_output_eps_0.020.vnnlib,sat
cgan_2023,onnx/cGAN_imgSz32_nCh_3.onnx,vnnlib/cGAN_imgSz32_nCh_3_prop_1_input_eps_0.010_output_eps_0.015.vnnlib,unsat
cgan_2023,onnx/cGAN_imgSz32_nCh_3.onnx,vnnlib/cGAN_imgSz32_nCh_3_prop_2_input_eps_0.010_output_eps_0.015.vnnlib,sat
cgan_2023,onnx/cGAN_imgSz32_nCh_3.onnx,vnnlib/cGAN_imgSz32_nCh_3_prop_3_input_eps_0.010_output_eps_0.015.vnnlib,sat
cgan_2023,onnx/cGAN_imgSz32_nCh_3_nonlinear_activations.onnx,vnnlib/cGAN_imgSz32_nCh_3_nonlinear_activations_prop_0_input_eps_0.010_output_eps_0.015.vnnlib,unsat
cgan_2023,onnx/cGAN_imgSz32_nCh_3_upsample.onnx,vnnlib/cGAN_imgSz32_nCh_3_upsample_prop_0_input_eps_0.010_output_eps_0.015.vnnlib,unsat
cgan_2023,onnx/cGAN_imgSz64_nCh_1.onnx,vnnlib/cGAN_imgSz64_nCh_1_prop_0_input_eps_0.010_output_eps_0.015.vnnlib,unsat
cgan_2023,onnx/cGAN_imgSz64_nCh_1.onnx,vnnlib/cGAN_imgSz64_nCh_1_prop_1_input_eps_0.005_output_eps_0.010.vnnlib,unsat
cgan_2023,onnx/cGAN_imgSz64_nCh_1.onnx,vnnlib/cGAN_imgSz64_nCh_1_prop_2_input_eps_0.010_output_eps_0.015.vnnlib,sat
cgan_2023,onnx/cGAN_imgSz64_nCh_1.onnx,vnnlib/cGAN_imgSz64_nCh_1_prop_3_input_eps_0.005_output_eps_0.010.vnnlib,sat
cgan_2023,onnx/cGAN_imgSz64_nCh_3.onnx,vnnlib/cGAN_imgSz64_nCh_3_prop_0_input_eps_0.010_output_eps_0.015.vnnlib,unsat
cgan_2023,onnx/cGAN_imgSz64_nCh_3.onnx,vnnlib/cGAN_imgSz64_nCh_3_prop_1_input_eps_0.010_output_eps_0.015.vnnlib,unsat
cgan_2023,onnx/cGAN_imgSz64_nCh_3.onnx,vnnlib/cGAN_imgSz64_nCh_3_prop_2_input_eps_0.005_output_eps_0.010.vnnlib,sat
cgan_2023,onnx/cGAN_imgSz64_nCh_3.onnx,vnnlib/cGAN_imgSz64_nCh_3_prop_3_input_eps_0.010_output_eps_0.015.vnnlib,sat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_0_eps_0.00784_n1.vnnlib,sat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_1_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_2_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_3_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_4_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_5_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_6_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_9_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_10_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_11_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_12_eps_0.00784_n1.vnnlib,sat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_13_eps_0.00784_n1.vnnlib,unsat
